Order_ID,Date,Salesperson,Customer_Name,City,State,Spice_Name,Category,Quantity_KG,Price_Per_KG,Total_Amount,Cost_Per_KG,Profit,Demo
MM001,24-Jan,Priya Patel,Taj Restaurant,Mumbai,Maharashtra,Turmeric Powder,Ground Spices,25,180,4500,120,1500, 120
MM002,24-Jan,Amit Kumar,Spice Garden Cafe,Pune,Maharashtra,Red Chili Powder,Ground Spices,15,220,3300,150,1050, 150
MM003,24-Jan,Sunita Singh,Royal Kitchen,Mumbai,Maharashtra,Garam Masala,Spice Blends,10,450,4500,300,1500, 300
MM004,24-Jan,Priya Patel,Maharaja Dhaba,Nashik,Maharashtra,Cumin Seeds,Whole Spices,30,160,4800,110,1500, 110
MM005,24-Jan,Ramesh Gupta,Bombay Bites,Mumbai,Maharashtra,Coriander Powder,Ground Spices,20,140,2800,95,900, 95
MM006,24-Jan,Amit Kumar,Sagar Restaurant,Pune,Maharashtra,Black Pepper,Whole Spices,5,800,4000,600,1000, 600
MM007,24-Jan,Sunita Singh,Krishna Cafe,Nagpur,Maharashtra,Cardamom,Whole Spices,2,2500,5000,2000,1000, 2000
MM008,24-Feb,Priya Patel,Golden Spoon,Mumbai,Maharashtra,Turmeric Powder,Ground Spices,35,180,6300,120,2100, 120
MM009,24-Feb,Ramesh Gupta,Pune Palace,Pune,Maharashtra,Biryani Masala,Spice Blends,12,380,4560,250,1560, 250
MM010,24-Feb,Amit Kumar,Marathi Mandir,Pune,Maharashtra,Red Chili Powder,Ground Spices,28,220,6160,150,1960, 150
MM011,24-Feb,,Deccan Delights,Pune,Maharashtra,Mustard Seeds,Whole Spices,18,120,2160,80,720, 80
MM012,24-Feb,Priya Patel,Mumbai Masala,Mumbai,Maharashtra,Garam Masala,Spice Blends,8,450,3600,300,1200, 300
MM013,24-Feb,Ramesh Gupta,Nashik Nosh,Nashik,Maharashtra,Cumin Seeds,Whole Spices,25,160,4000,110,1250, 110
MM014,24-Feb,,Spicy Affairs,Pune,Maharashtra,Black Pepper,Whole Spices,7,800,5600,600,1400, 600
MM015,24-Feb,Sunita Singh,Royal Kitchen,Mumbai,Maharashtra,Cinnamon Sticks,Whole Spices,3,1200,3600,900,900, 900
MM016,24-Mar,Priya Patel,Aurangabad Eats,Aurangabad,Maharashtra,Turmeric Powder,Ground Spices,40,180,7200,120,2400, 120
MM017,24-Mar,Ramesh Gupta,Kolhapur Kitchen,Kolhapur,Maharashtra,Kolhapuri Masala,Spice Blends,15,350,5250,220,1950, 220
MM018,24-Mar,Amit Kumar,Solapur Spices,Solapur,Maharashtra,Red Chili Powder,Ground Spices,22,220,4840,150,1540, 150
MM019,24-Mar,Sunita Singh,,Nagpur,Maharashtra,Orange Peel Powder,Ground Spices,8,300,2400,200,800, 200
MM020,24-Mar,Priya Patel,Mumbai Central,Mumbai,Maharashtra,Chat Masala,Spice Blends,20,280,5600,180,2000, 180
MM021,24-Mar,Ramesh Gupta,Dhule Dining,Dhule,Maharashtra,Coriander Seeds,Whole Spices,32,130,4160,90,1280, 90
MM022,24-Jan,Amit Kumar,,Pune,Maharashtra,Fennel Seeds,Whole Spices,14,200,2800,140,840, 140
MM023,24-Jan,Sunita Singh,Latur Lunch,Latur,Maharashtra,Fenugreek Seeds,Whole Spices,10,180,1800,120,600, 120
MM024,24-Jan,Priya Patel,Thane Tiffin,Thane,Maharashtra,Sambhar Masala,Spice Blends,18,320,5760,200,2160, 200
MM025,24-Jan,Ramesh Gupta,Sangli Sweets,Sangli,Maharashtra,Turmeric Powder,Ground Spices,30,180,5400,120,1800, 120
MM026,24-Jan,Amit Kumar,Satara Snacks,Satara,Maharashtra,Red Chili Powder,Ground Spices,26,220,5720,150,1820, 150
